No.,Restaurant,Pick (km),Drop (km),Total (km),Fee (€)
1,K-Market Karhumäki,44.6,5.4,50,7.49
2,Burger King Imatra,2.4,3.5,5.9,6.2
3,McDonald's Imatra,2.6,6.1,8.7,7.45
4,McDonald's Imatra,0,1.5,1.5,4.82
5,K-Market Karhumäki,2.3,2.3,4.6,5.51
6,K-Market Karhumäki,2.2,7,9.2,7.84
7,K-Market Lappeentie,1.6,1,2.6,4.79
8,K-Market Karhumäki,2.2,2,4.2,5.33
9,Subway Tietäjänkatu,0.4,6.7,7.1,7.53
10,K-Market Karhumäki,4,1.1,5.1,5.07
11,McDonald's Imatra,0,5.8,5.8,7.01
12,McDonald's Imatra,0,3.9,3.9,6.1
13,K-Market Lappeentie,2.2,5.5,7.7,7.13
14,McDonald's Imatra,0,6.3,6.3,7.24
15,Burger King Imatra,0,3.3,3.3,6.12
16,McDonald's Imatra,1.9,5.2,7.1,6.96
17,McDonald's Imatra,0,1.4,1.4,4.77
18,McDonald's Imatra,0,3.3,3.3,5.81
19,K-Market Lappeentie,0.3,0.6,0.9,4.47
20,Ravintola Lounari Imatra,1.7,1,2.7,4.8
21,Subway Tietäjänkatu,2.5,3,5.5,6.25
22,Subway Tietäjänkatu,3.4,0.4,3.8,4.93
23,McDonald's Imatra,2.6,5.1,7.7,6.98
24,K-Market Karhumäki,2.2,1.2,3.4,4.94
25,Konnichiwa Imatra,1.6,2.4,4,5.51
26,Burger King Imatra,3.6,2.8,6.4,5.92
27,Konnichiwa Imatra,2.5,1,3.5,4.88
28,K-Market Lappeentie,0.7,0.2,0.9,4.33
29,K-Market Karhumäki,5.2,0.7,5.9,4.96
30,K-Market Karhumäki,2.2,4.9,7.1,6.84
31,McDonald's Imatra,0,2.9,2.9,5.58
32,McDonald's Imatra,0,4.2,4.2,6.25
33,K-Market Karhumäki,2.3,6.6,8.9,7.66
34,Subway Tietäjänkatu,2.5,6.9,9.4,7.82
35,Seven Grilli Imatra,0.5,6.4,6.9,7.4
36,K-Market Karhumäki,2.3,4.9,7.2,6.85
37,K-Market Karhumäki,4,4.8,8.8,6.97
38,K-Market Karhumäki,4,2,6,5.51
39,Subway Tietäjänkatu,0,4.5,4.5,6.39
40,K-Market Karhumäki,2.2,2.9,5.1,7.35
41,Café Nisse,0.4,3.6,4,6.06
42,K-Market Lappeentie,2.4,0.7,3.1,4.73
43,McDonald's Imatra,0,2.8,2.8,5.52
44,McDonald's Imatra,0,3.7,3.7,6.01
45,K-Market Karhumäki,2.5,1.1,3.6,4.93
46,K-Market Karhumäki,2.2,2.5,4.7,5.62
47,McDonald's Imatra,0,5.2,5.2,6.72
48,K-Market Lappeentie,1.6,1,2.6,4.79
49,McDonald's Imatra,0,2.3,2.3,5.24
50,K-Market Lappeentie,3.1,0.3,3.4,4.6
51,K-Market Lappeentie,1.3,7.3,8.6,7.9
52,Subway Tietäjänkatu,0,1.7,1.7,4.92
53,Burger King Imatra,2.2,4.5,6.7,6.65
54,K-Market Lappeentie,1.4,5,6.4,6.82
55,Subway Tietäjänkatu,0,6.7,6.7,7.43
56,Subway Tietäjänkatu,0,0.6,0.6,4.39
57,McDonald's Imatra,0,5.8,5.8,7.01
58,McDonald's Imatra,0,5.4,5.4,6.82
59,Rolls Imatra,1.3,1.3,2.6,4.91
60,Burger King Imatra,2.2,3.5,5.7,6.18
61,K-Market Lappeentie,1.6,3.3,4.9,6.02
62,K-Market Lappeentie,2.3,4.7,7,6.76
63,K-Market Lappeentie,1.3,3.1,4.4,5.88
64,K-Market Lappeentie,1.3,5,6.3,6.81
65,Subway Tietäjänkatu,0.3,4.6,4.9,6.51
66,K-Market Karhumäki,4,0.7,4.7,4.88
67,Musti và Mirri Imatra,0.6,3.5,4.1,6.03
68,Konnichiwa Imatra,0.7,1,1.7,4.71
69,K-Market Lappeentie,1.6,1.8,3.4,5.17
70,Subway Tietäjänkatu,0.3,5.8,6.1,7.08
71,K-Market Lappeentie,0,0.8,0.8,4.49
72,K-Market Karhumäki,4,8.9,12.9,8.92
73,K-Market Karhumäki,0,3.6,3.6,5.96
74,Burger King Imatra,2.2,2.2,4.4,6.95
75,K-Market Karhumäki,1.4,0.6,2,4.83
76,K-Market Karhumäki,0,1.4,1.4,4.77
77,Burger King Imatra,4.5,5.5,10,7.74
78,McDonald's Imatra,2.9,1.2,4.1,5.01
79,Subway Tietäjänkatu,3.5,3.3,6.8,6.2
80,Subway Tietäjänkatu,0,3,3,5.64
81,McDonald's Imatra,2.6,0.8,3.4,4.79
82,K-Market Lappeentie,0.5,7.1,7.6,8.14
83,K-Market Lappeentie,1.7,1.2,2.9,4.9
84,McDonald's Imatra,0,1.4,1.4,4.77
85,McDonald's Imatra,1,3,4,5.79
86,K-Market Lappeentie,1.5,2.7,4.2,5.67
87,K-Market Lappeentie,1.6,1.6,3.2,5.08
88,McDonald's Imatra,2.2,1.7,3.9,5.18
89,K-Market Karhumäki,3.1,3,6.1,5.99
90,Ravintola Lounari Imatra,3.4,10.2,13.6,9.98
91,K-Market Lappeentie,0,2.1,2.1,5.13
92,McDonald's Imatra,0.4,2.1,2.5,5.22
93,McDonald's Imatra,2.1,1.2,3.3,4.94
94,K-Market Lappeentie,1.7,0.9,2.6,4.75
95,K-Market Lappeentie,0.3,5.7,6,7.41
96,K-Market Lappeentie,1.3,4.8,6.1,6.71
